# Run 6: x_init=0.303, y_init=0.219, heading_init=-0.388, lightX=0.101, lightY=0.446
timeStep,x,y,heading,sensorLeft,sensorMid,sensorRight,lightSensor,wheelLeft,wheelRight,state
77,0.270637,0.353263,72.941391,0.603001,0.000000,0.000000,0.037212,0.500000,-0.500000,TURN_RIGHT
78,0.262891,0.346938,72.719093,0.000000,0.000000,0.000000,0.035863,0.174620,0.245380,SEEK_LIGHT
79,0.253942,0.342476,72.528519,0.000000,0.000000,0.000000,0.033958,0.179669,0.240331,SEEK_LIGHT
80,0.244309,0.339791,72.364532,0.000000,0.000000,0.000000,0.031676,0.183900,0.236100,SEEK_LIGHT
81,0.234367,0.338714,72.222900,0.000000,0.000000,0.000000,0.029164,0.187458,0.232542,SEEK_LIGHT
82,0.224373,0.339051,72.100113,0.000000,0.000000,0.000000,0.026535,0.190458,0.229542,SEEK_LIGHT
83,0.214495,0.340610,71.993240,0.000000,0.000000,0.146995,0.023874,0.192991,0.227009,SEEK_LIGHT
84,0.204840,0.343214,72.307396,0.000000,0.000000,0.310997,0.021243,0.700000,0.600000,WALL_FOLLOW_RIGHT
85,0.194853,0.342706,72.147865,0.000000,0.000000,0.000000,0.019382,0.184610,0.235390,SEEK_LIGHT
86,0.184912,0.343792,72.007980,0.000000,0.000000,0.117996,0.017401,0.187736,0.232264,SEEK_LIGHT
87,0.175220,0.346253,72.322136,0.000000,0.000000,0.334997,0.015381,0.700000,0.600000,WALL_FOLLOW_RIGHT
88,0.165241,0.345598,72.129501,0.000000,0.000000,0.000000,0.014139,0.179341,0.240659,SEEK_LIGHT
89,0.155322,0.346866,71.959251,0.000000,0.000000,0.196995,0.012720,0.182904,0.237096,SEEK_LIGHT
90,0.145761,0.349796,72.273407,0.000000,0.000000,0.416998,0.011209,0.700000,0.600000,WALL_FOLLOW_RIGHT
91,0.135762,0.349628,72.049210,0.000000,0.047998,0.004000,0.010456,0.174318,0.245682,SEEK_LIGHT
92,0.125976,0.351688,72.363365,0.108996,0.094997,0.365998,0.009488,0.700000,0.600000,WALL_FOLLOW_RIGHT
